track_name,track_number,track_popularity,explicit,artist_popularity,artist_followers,album_total_tracks,album_type,track_duration_min
Trippy Mane (ft. Project Pat),4,0,1,77,2812821,9,0,1.55
OMG!,1,0,1,64,2363438,1,2,3.07
Hard 2 Find,1,4,1,48,193302,1,2,2.55
Still Get Like That (ft. Project Pat & Starrah),8,30,1,77,2813710,9,0,1.69
ride me like a harley,2,0,1,48,8682,2,2,2.39
BLEED,1,2,0,46,7218,3,2,2.76
Te Procuro na Cidade,1,20,0,30,1657,1,2,4.12
come closer,1,27,0,49,8802,2,2,2.53
Cupido Vagabundo,1,16,0,6,475,2,2,2.92
LET’S GO!,1,33,1,48,154802,1,2,2.4
Stray,1,30,0,25,814,4,2,2.49
PAPARAZZI ARRIVE - English Ver.,1,48,0,46,13826,14,0,2.89
Root of all Evil,5,65,0,85,11137714,12,0,4.41
Let’s Go!!,2,0,1,17,3567,6,2,2.05
MELODY - CHENYU & SHIJIE & QUCHANG,11,27,0,46,13590,14,0,4.25
My Muse,2,67,1,74,735818,7,2,2.75
A Real Good Bad One,1,31,0,23,1518,1,2,2.73
BOSS - English Ver.,3,33,0,46,13826,14,0,2.92
Bridges,1,11,0,3,364,1,2,2.91
Can't Go Back,1,30,0,23,13770,1,2,2.43
Deeply Still,1,35,0,35,729,1,2,2.91
Eggshell Tap Dancer,1,52,0,67,3134186,4,2,3.78
Eyes on You,1,22,0,17,543,3,2,4.26
superstar,2,59,1,74,1378935,14,0,2.82
Trim,1,1,1,24,166,1,2,2.62
Trip,14,32,0,46,13826,14,0,3.26
HEARTBREAK SZN,1,32,1,23,1982,1,2,2.89
Higher Vibration,1,35,0,25,722,2,2,2.4
Hold On (We Are Going Home),1,34,0,32,1496,1,2,3.58
Kay,1,2,0,6,84,1,2,3.85
you never really cared,1,31,0,34,1693,1,2,2.37
Master of the Kill,1,42,0,45,27570,1,2,3.25
Fool For You,1,25,0,20,1073,1,2,3.07
blonde eyes,1,25,0,30,2891,5,2,2.41
limerence,2,13,0,30,2896,5,2,1.48
Love Crazy - Stash Konig Remix,1,31,0,18,200,1,2,3.26
One More Time,5,6,0,13,119,9,0,3.94
Nectar - B-Rain Remix,2,29,0,27,54636,3,2,2.95
No Glory,1,52,0,58,146944,1,2,2.37
Dracula,3,80,1,84,9509731,12,0,3.42
PSYCHWARD (with WesGhost ft. Project Pat),1,51,1,77,2812337,4,2,2.88
Where Have You Been,1,38,0,50,7219,1,2,2.08
Great Tomorrow,1,3,0,1,177,1,2,2.21
Hearts Grow Cold (Saint Noël) [feat. Olivia Cadenza],1,50,0,49,19306,1,2,2.65
Talk To You (ft. Elton John),1,72,1,73,1204977,1,2,5.28
The Way I Am Now,1,25,0,17,1068,1,2,3.77
Think About Us,1,68,0,66,306842,1,2,2.96
Trophy Wife,1,32,1,31,5701,1,2,2.86
baby can you sin for me,1,52,0,59,130408,1,2,2.69
Wild Side,1,48,0,53,1161,1,2,2.5
Amal,1,38,0,50,247771,1,2,3.88
PIXELATED KISSES,1,88,1,81,10638942,1,2,1.84
MEGAFAUNA,1,24,1,10,218,1,2,2.87
2nd To Me,1,31,1,14,297,1,2,3.26
Leavin,1,70,1,76,9673984,1,2,2.81
Gone Gone Gone,1,79,0,87,27141717,2,2,3.3
Goodbye For Now,1,33,0,18,1263,1,2,3.5
Here and Now (Where I Wanna Be),1,35,0,23,445,1,2,3.03
Hold My Hand,1,35,0,19,290,1,2,4.4
Part of Me,1,75,1,77,8986062,1,2,2.78
Run For The Hills,1,37,0,43,17999,1,2,3.12
So Far,1,28,0,20,114,1,2,3.07
Something Like This,1,33,0,20,7785,1,2,2.22
Stateside + Zara Larsson,10,74,0,78,4761364,31,0,3.07
Constellations,1,68,0,70,223449,1,2,2.73
Die On This Hill,1,76,0,66,182377,3,2,3.61
Distance Of Living,9,35,0,17,4,9,0,2.72
EYES CLOSED (with ZAYN),1,88,0,73,7282227,1,2,3.02
Getting Down,1,30,0,13,5,1,2,3.13
Alarm,1,18,0,5,429,1,2,3.02
All Night Long,1,39,0,28,631,1,2,2.75
ANYMORE,1,18,1,7,308,1,2,2.91
Bad Boy,1,60,0,54,11283,1,2,2.45
Break Out,1,39,0,24,435,1,2,3.2
Tropical Vacation,1,40,0,48,193279,1,2,2.92
Chasing the Day,1,51,0,32,37,1,2,2.63
Used To Love,1,35,0,19,2633,1,2,2.21
TBB,1,31,1,18,435,1,2,2.41
The Fate of Ophelia,1,87,0,100,145443567,12,0,3.76
The Life of a Showgirl (feat. Sabrina Carpenter),12,93,1,100,145489371,12,0,4.02
The Serpent,1,53,0,58,146969,1,2,3.25
The Way I Know,1,29,0,26,13179,1,2,2.15
Turn Back Time,1,25,0,15,48,1,2,3.19
Wait For You,1,42,0,37,6199,1,2,3.45
Rare,1,39,1,28,405,1,2,2.9
Rock Your Body,2,28,0,11,54,7,0,2.81
Ruin The Friendship,6,92,0,100,145396321,12,0,3.67
Monsters,1,38,1,32,1844,1,2,2.17
Opalite,3,97,0,100,145443567,12,0,3.92
High Or Die,1,39,0,20,475,2,2,2.51
Honey,11,91,1,100,145489371,12,0,3.02
i don't need ur love,1,55,1,49,8741,2,2,2.23
It's Giving,1,40,0,24,3776,1,2,2.49
Actually Romantic,7,93,1,100,145396321,12,0,2.72
Broken Glass,1,32,1,20,5344,1,2,2.27
CANCELLED!,10,93,1,100,145396321,12,0,3.52
Wi$h Li$t,8,93,1,100,145396321,12,0,3.45
Wood,9,93,1,100,145443567,12,0,2.5
you're a star,1,74,0,77,2201446,1,2,3.65
Days Like These,3,75,0,83,13402920,3,2,3.69
Eldest Daughter,5,92,1,100,145396321,12,0,4.1
Elizabeth Taylor,2,95,0,100,145489371,12,0,3.47
Energy,1,40,0,28,4401,1,2,3.04
